server, uid, login_day_of_week, login_month, login_day, login_year, login_timestamp, logout_day_of_week, logout_month, logout_day, logout_year, logout_timestamp, still_logged_in_as_of, duration_days, duration_hours, duration_minutes 
Marissas-MacBook-Pro-2.local,yanxin,Fri,May,18,2018,21:54:04,,,,,,Fri May 18 2018 10:26:58,,,
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,21:48:21,,,,,,Fri May 18 2018 10:26:58,,,
Marissas-MacBook-Pro-2.local,kad,Fri,May,18,2018,21:47:30,,,,,,Fri May 18 2018 10:26:58,,,
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,21:44:14,,,,,,Fri May 18 2018 10:26:58,,,
Marissas-MacBook-Pro-2.local,annie823,Fri,May,18,2018,19:26:04,,,,,,Fri May 18 2018 10:26:58,,,
Marissas-MacBook-Pro-2.local,annie823,Fri,May,18,2018,19:25:41,,,,,,Fri May 18 2018 10:26:58,,,
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,19:07:56,,,,,,Fri May 18 2018 10:26:58,,,
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,17:26:22,Fri,May,18,2018,19:47:20,,0,02,20
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,16:57:54,Fri,May,18,2018,17:25:41,,0,00,27
Marissas-MacBook-Pro-2.local,gszypko,Fri,May,18,2018,15:03:24,Fri,May,18,2018,19:25:01,,0,04,21
Marissas-MacBook-Pro-2.local,yanxin,Fri,May,18,2018,21:54:04,,,,,,Fri May 18 2018 10:27:06,,,
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,21:48:21,,,,,,Fri May 18 2018 10:27:06,,,
Marissas-MacBook-Pro-2.local,kad,Fri,May,18,2018,21:47:30,,,,,,Fri May 18 2018 10:27:06,,,
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,21:44:14,,,,,,Fri May 18 2018 10:27:06,,,
Marissas-MacBook-Pro-2.local,annie823,Fri,May,18,2018,19:26:04,,,,,,Fri May 18 2018 10:27:06,,,
Marissas-MacBook-Pro-2.local,annie823,Fri,May,18,2018,19:25:41,,,,,,Fri May 18 2018 10:27:06,,,
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,19:07:56,,,,,,Fri May 18 2018 10:27:06,,,
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,17:26:22,Fri,May,18,2018,19:47:20,,0,02,20
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,16:57:54,Fri,May,18,2018,17:25:41,,0,00,27
Marissas-MacBook-Pro-2.local,gszypko,Fri,May,18,2018,15:03:24,Fri,May,18,2018,19:25:01,,0,04,21
Marissas-MacBook-Pro-2.local,yanxin,Fri,May,18,2018,21:54:04,,,,,,Fri May 18 2018 10:27:15,,,
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,21:48:21,,,,,,Fri May 18 2018 10:27:15,,,
Marissas-MacBook-Pro-2.local,kad,Fri,May,18,2018,21:47:30,,,,,,Fri May 18 2018 10:27:15,,,
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,21:44:14,,,,,,Fri May 18 2018 10:27:15,,,
Marissas-MacBook-Pro-2.local,annie823,Fri,May,18,2018,19:26:04,,,,,,Fri May 18 2018 10:27:15,,,
Marissas-MacBook-Pro-2.local,annie823,Fri,May,18,2018,19:25:41,,,,,,Fri May 18 2018 10:27:15,,,
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,19:07:56,,,,,,Fri May 18 2018 10:27:15,,,
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,17:26:22,Fri,May,18,2018,19:47:20,,0,02,20
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,16:57:54,Fri,May,18,2018,17:25:41,,0,00,27
Marissas-MacBook-Pro-2.local,gszypko,Fri,May,18,2018,15:03:24,Fri,May,18,2018,19:25:01,,0,04,21
